iter	Passed	Remaining
0	0	81
1	1	74
2	2	69
3	2	65
4	3	65
5	4	64
6	4	63
7	5	62
8	6	61
9	6	60
10	7	59
11	7	58
12	8	57
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	14	50
23	15	49
24	16	48
25	16	47
26	17	47
27	18	46
28	18	45
29	19	45
30	20	44
31	20	43
32	21	43
33	21	42
34	22	41
35	23	41
36	23	40
37	24	40
38	25	39
39	25	38
40	26	38
41	26	36
42	27	36
43	28	35
44	29	35
45	29	35
46	30	34
47	31	34
48	32	33
49	33	33
50	34	32
51	34	32
52	35	31
53	36	31
54	37	30
55	38	30
56	39	29
57	40	29
58	41	28
59	42	28
60	43	28
61	44	27
62	45	26
63	46	26
64	48	25
65	49	25
66	50	24
67	50	23
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
